,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
106,3,IB,7,7,A,1,26.9,22.4,1,18.065,12.4,41.601,1.26882418,6.901,25.53
107,3,IB,8,8,A,1,26.1,21.7,1,2.3,3.4,41.601,1.26882418,6.901,25.53
108,3,IB,10,10,A,1,26.1,19.3,1,6.5,5.9,41.601,1.26882418,6.901,25.53
109,3,IB,12,12,A,1,28.2,17.1,1,3.5,2,41.601,1.26882418,6.901,25.53
110,3,IB,13,13,R,3,27.4,16.5,1,5.5,7.2,41.601,1.26882418,6.901,25.53
111,3,IB,14,14,A,1,30.1,15,1,33.1,24,41.601,1.26882418,6.901,25.53
112,3,IB,15,15,A,1,29.6,12.7,1,2.2,3.7,41.601,1.26882418,6.901,25.53
113,3,IB,17,17,A,1,28.6,10.8,1,5.1,7,41.601,1.26882418,6.901,25.53
114,3,IB,18,18,A,1,29.6,9.7,1,1.8,2.1,41.601,1.26882418,6.901,25.53
115,3,IB,19,19,A,1,28.1,7.4,1,3.3,3.5,41.601,1.26882418,6.901,25.53
116,3,IB,22,22,A,1,27.2,3.6,1,32.5,18.9,41.601,1.26882418,6.901,25.53
117,3,IB,23,23,A,1,26.8,1.4,1,36.5,22.5,41.601,1.26882418,6.901,25.53
118,3,IB,24,24,R,3,27.1,0.1,1,4.6,5.9,41.601,1.26882418,6.901,25.53
119,3,IB,26,26,R,3,21,3.1,1,18,10.5,41.601,1.26882418,6.901,25.53
120,3,IB,27,27,R,3,17.5,2.2,1,12.2,11.4,41.601,1.26882418,6.901,25.53
121,3,IB,28,28,R,3,16.2,3.5,1,4.5,5.8,41.601,1.26882418,6.901,25.53
122,3,IB,29,29,A,1,12.2,3,1,3.6,4.1,41.601,1.26882418,6.901,25.53
123,3,IB,30,30,R,3,11.6,1.5,1,3,6.6,41.601,1.26882418,6.901,25.53
124,3,IB,31,31,R,3,9.8,2.6,1,3.3,4.9,41.601,1.26882418,6.901,25.53
125,3,IB,37,37,R,3,3.1,8.7,1,8.6,10.8,41.601,1.26882418,6.901,25.53
126,3,IB,38,38,A,1,0.3,9.1,1,6.4,8.8,41.601,1.26882418,6.901,25.53
127,3,IB,40,40,A,1,1.6,10.6,1,3.4,2.4,41.601,1.26882418,6.901,25.53
128,3,IB,42,42,A,1,3.6,10.8,1,39,15.4,41.601,1.26882418,6.901,25.53
129,3,IB,41,41,A,1,3.6,10,1,35,15,41.601,1.26882418,6.901,25.53
130,3,IB,43,43,R,3,3.5,12.1,1,9,9.9,41.601,1.26882418,6.901,25.53
131,3,IB,44,44,A,1,2.3,13.9,1,7,7,41.601,1.26882418,6.901,25.53
132,3,IB,45,45,A,1,0.9,15.5,1,3.8,3.9,41.601,1.26882418,6.901,25.53
133,3,IB,46,46,A,1,1.9,15.9,1,2.8,3.5,41.601,1.26882418,6.901,25.53
134,3,IB,47,47,A,1,3.4,17.1,1,5.65,5.5,41.601,1.26882418,6.901,25.53
135,3,IB,48,48,A,1,1.7,17.6,1,2,2.35,41.601,1.26882418,6.901,25.53
136,3,IB,49,49,A,1,0.3,20.4,1,10.8,10,41.601,1.26882418,6.901,25.53
137,3,IB,50,50,R,3,1.2,25.4,3,32.9,11.4,41.601,1.26882418,6.901,25.53
138,3,IB,51,51,A,1,5.2,28.5,1,42.4,17.4,41.601,1.26882418,6.901,25.53
139,3,IB,53,53,A,1,12.2,27,1,31.5,9.6,41.601,1.26882418,6.901,25.53
140,3,IB,55,55,R,3,14.5,28.8,1,5,9.2,41.601,1.26882418,6.901,25.53
141,3,IB,56,56,R,3,16.8,29.3,1,6,8.5,41.601,1.26882418,6.901,25.53
142,3,IB,57,57,R,3,20.4,26,1,18.8,13.4,41.601,1.26882418,6.901,25.53
143,3,IB,58,58,A,1,23.4,27.9,2,74.5,18,41.601,1.26882418,6.901,25.53
144,3,IB,59,59,A,1,21.5,21.5,1,39.5,21.4,41.601,1.26882418,6.901,25.53
145,3,IB,60,60,R,3,20.4,22.2,1,13.2,11.8,41.601,1.26882418,6.901,25.53
146,3,IB,61,61,R,3,20.8,20.2,1,12.5,10.5,41.601,1.26882418,6.901,25.53
147,3,IB,62,62,A,1,23.3,17.4,1,28.95,18,41.601,1.26882418,6.901,25.53
148,3,IB,63,63,R,3,24.5,16.8,1,6.2,7.2,41.601,1.26882418,6.901,25.53
