,Geo,LOC,Tree1,Tree2,dist,pos1,pos2,h1,h2,dbh1,dbh2
135,MF,13,5,6,1.586001261,4.84+9.82i,5.79+11.09i,19,9,29,15.45
136,MF,13,4,5,1.723513853,3.12+9.71i,4.84+9.82i,11,19,21.85,29
137,MF,13,56,55,4.798020425,6.84+15.86i,3.95+19.69i,19,9.6,47.1,19
138,MF,13,54,53,1.134416149,2.86+20.66i,2.76+21.79i,12,16.2,20.25,25.65
139,MF,13,55,54,1.459109317,3.95+19.69i,2.86+20.66i,9.6,12,19,20.25
140,MF,13,49,53,2.225758298,4.44+23.25i,2.76+21.79i,16.8,16.2,30.2,25.65
141,MF,13,46,47,4.05720347,13.02+26.23i,9.17+27.51i,13.2,12.5,24.25,21.75
142,MF,13,58,43,0.462709412,16.17+28.35i,16.63+28.3i,13.2,15.4,32.5,43.7
143,MF,13,43,44,1.670927886,16.63+28.3i,16.31+29.94i,15.4,15.8,43.7,29.5
144,MF,13,44,58,1.596151622,16.31+29.94i,16.17+28.35i,15.8,13.2,29.5,32.5
145,MF,13,33,32,1.970228413,18.91+22.21i,16.94+22.24i,11.6,14.8,44.5,24.15
146,MF,13,39,41,1.471461858,23.61+27.77i,22.35+28.53i,7.2,12.6,14,24.65
147,MF,13,39,38,1.13,23.61+27.77i,23.46+26.65i,7.2,10.5,14,12.5
148,MF,13,37,57,2.326907819,27.56+25.54i,28.4+23.37i,10.4,6,20.55,15.5
149,MF,13,35,34,3.596720729,25.71+18.9i,22.79+16.8i,9,13.6,17,28.85
150,MF,13,29,30,1.481249473,15.95+14.05i,16.66+15.35i,10.2,10.6,21.65,25.5
151,MF,13,29,15,1.990602924,15.95+14.05i,15.1+12.25i,10.2,11.2,21.65,22.95
152,MF,13,29,14,3.495940503,15.95+14.05i,12.49+13.55i,10.2,17.8,21.65,33.55
153,MF,13,22,21,2.574101785,20.45+2.76i,18.01+1.94i,14,12,22.4,18.5
